asset_type,name,artist,art_date,structure,latitude,longitude,clue_area
Monument,William Ievers Junior Memorial Drinking Fountain,Charles Douglas Richardson,1916,"Granite, marble and bluestone drinking fountain",-37.7982578658973,144.97056466482599,Carlton
Monument,South African War Memorial,Architect - G. De Lacy-Evans Sculptor - Joseph Hamilton,1904,Sandstone and bluestone sculpture,-37.8259414951225,144.971856818756,Southbank
Art,People's Path,Ian Sprague et al,1978-1979,Terracotta bricks (tiles),-37.8110235407409,144.978389216138,Melbourne (CBD)
Monument,Samuel Mauger Drinking Fountain,unknown,1937,Granite drinking fountain,-37.8082489459354,144.975315385075,Melbourne (CBD)
Monument,Robert Burns Memorial,George Anderson Lawson,1903,Bronze statue and plinth with granite pedestal,-37.814373582353,144.974720032667,Melbourne (CBD)
Art,Silence,Adrian Mauriks,2003,Sculpture,-37.8150877523684,144.941573967784,Docklands
Art,Silence,Adrian Mauriks,2003,Sculpture,-37.8151131017782,144.941629273114,Docklands
Art,Boy on a Turtle,unknown,c. 1850,Bronze statue,-37.8143892616922,144.979910150531,Melbourne (CBD)
Monument,"Sir Edward ""Weary"" Dunlop",Peter Corlett,1995,Bronze statue with granite pedestal,-37.8253098347073,144.971594300075,Southbank
Monument,Duke and Duchess of York Memorial,J. Churchman & Sons,1901,"Marble, granite and sandstone drinking fountain,",-37.806629256046,144.959908916093,Melbourne (CBD)
Monument,King Edward VII Memorial,Sculptor Edgar Bertram Mackennal; founder A.B. Burton,1920,Bronze statue with basalt and granite pedestal,-37.8226717982934,144.970988232874,Southbank
Art,Time and Tide,Akio Makigawa,1994,"Bluestone, white marble, bronze and stainless-steel sculpture",-37.8143983948935,144.96625088381,Melbourne (CBD)
Art,Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8187628091159,144.974136155999,Melbourne (CBD)
Art,Threaded Field,Simon Perry,1999,Sculpture,-37.8152785788316,144.947248109473,Docklands
Art,Vault,Ron Roberston-Swann,1980,Steel plate sculpture,-37.8260714214476,144.967732756918,Southbank
Monument,Bust of Dr Louis Smith,Edgar Bertram Mackennal,1914,Bronze bust with granite pedestal,-37.8047443111517,144.972452056885,Melbourne (CBD)
Art,Painted Poles,Jennifer McCarthy,1992,Metal poles,-37.8099325911658,144.964088812819,Melbourne (CBD)
Art,Silence,Adrian Mauriks,2003,Sculpture,-37.8150528491189,144.94158776112,Docklands
Art,Birrarung Wilam,"Vicki Couzens, Lee Darroch and Treahna Hamm",2006,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.818595693813,144.971821646868,Melbourne (CBD)
Art,Weathervanes,Daniel Jenkins,1993,Hand-beaten copper sculpture with gold-leaf detail,-37.8134422577685,144.965689009116,Melbourne (CBD)
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.82012299082,144.959360068025,Southbank
Fountain,Dolphin Fountain,June Arnold,1982,Bronze and granite fountain,-37.8118884344659,144.980015806146,Southbank
Art,Commonwealth Games Aquatic Sculptures - Eels,unknown,2006,Painted steel sculptures,-37.7966290593729,144.924306764698,Kensington
Art,Eel Trap,Fiona Clarke and Ken McKean,2003,Plate-steel sculpture,-37.8191221824373,144.97407578866,Melbourne (CBD)
Art,Parrallax,Ari Purhonen,2002,Public installation,-37.8196059887556,144.951325455868,Melbourne (CBD)
Art,Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8186666064737,144.974100167285,Melbourne (CBD)
Art,Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8186882333343,144.974128540287,Melbourne (CBD)
Art,"Another View, Site 1",Ray Thomas,1994,Red granite and brass paving inlay,-37.8112942929369,144.973168986334,Melbourne (CBD)
Art,Boy and Pelican,William Leslie Bowles,1936,Pyrmont sandstone sculpture,-37.8137675376712,144.982771754404,Southbank
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8200541369817,144.959680160075,Southbank
Monument,Queen Victoria Memorial,James White,1907,White marble and granite sculpture,-37.8218411817137,144.972479044613,Southbank
Fountain,Dinny O'Hearn Fountain,unknown,1981,Cast-iron and enamel fountain,-37.7975991142625,144.967306467399,Parkville
Art,Blowhole,Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8219308131053,144.946798545611,Other
Monument,Separation Memorial,unknown,1950,Mixed stone sculpture,-37.810695135969,144.953685908935,Melbourne (CBD)
Art,Sundial,unknown,unknown,Bronze sundial on sandstone plinth,-37.8103161768399,144.954937553695,Melbourne (CBD)
Art,Threaded Field,Simon Perry,1999,Sculpture,-37.8154836225539,144.946712125445,Docklands
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.820111630197,144.959404150284,Southbank
Art,Horse Hitching Post,unknown,c. 1900,Stone post,-37.8150299769363,144.974931527616,Melbourne (CBD)
Art,Lynch's Bridge Mosaic Mural,Elizabeth MacKinnon,1998,Ceramic tile mural,-37.7902053576258,144.92393918587,Kensington
Art,Reed Vessel,Virginia King,2002,Sculpture,-37.8202323424168,144.946325127609,Other
Monument,Burke and Wills Monument,Charles Summers,1865,Bronze statue with granite pedestal,-37.8156337321238,144.966703993713,Melbourne (CBD)
Art,Peter Pan,Paul Montford,1925,Bronze statue,-37.784773009033,144.95236482558,Parkville
