base_property_id,census_year,name,business_address,industry_code,industry_desc,seating_type,number_of_seats,latitude,longitude,clue_area
108266,2023,Market Cafe / Station Cafe / Mercury Restaurant,Restaurant 11 Nicholson Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Outdoor,20,-37.803974460350005,144.97162875087292,Carlton
106242,2023,Il Gambero,166-168 Lygon Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Indoor,221,-37.803309601150005,144.96680839982113,Carlton
593728,2023,The Sri Lounge,Ground 116 Newquay Promenade DOCKLANDS VIC 3008,4511,Cafes and Restaurants,Seats - Indoor,120,-37.8152440632,144.93958155224684,Docklands
593733,2023,Cocobei,417 Docklands Drive DOCKLANDS VIC 3008,4511,Cafes and Restaurants,Seats - Indoor,45,-37.81472007664051,144.9397149792,Docklands
601815,2023,Docklands Den,5 Rakaia Way DOCKLANDS VIC 3008,4511,Cafes and Restaurants,Seats - Indoor,54,-37.81428809645,144.9402116114489,Docklands
593737,2023,Dohtonbori,Level 1 14 Star Circus DOCKLANDS VIC 3008,4511,Cafes and Restaurants,Seats - Indoor,48,-37.8132875139,144.93799833512347,Docklands
593737,2023,Gozleme King,Shop G04 7 Star Circus DOCKLANDS VIC 3008,4511,Cafes and Restaurants,Seats - Indoor,26,-37.8132875139,144.93799833512347,Docklands
593737,2023,san churro docklands,Ground 11 Star Circus DOCKLANDS VIC 3008,4511,Cafes and Restaurants,Seats - Indoor,45,-37.8132875139,144.93799833512347,Docklands
620301,2023,The Pancake Parlour,"Shop 5, Level 1 120 Pearl River Road DOCKLANDS VIC 3008",4511,Cafes and Restaurants,Seats - Indoor,163,-37.8118595645,144.93658920046647,Docklands
617402,2023,Mr Tucker,17-19 Melrose Street NORTH MELBOURNE VIC 3051,4511,Cafes and Restaurants,Seats - Indoor,40,-37.79501732002552,144.9414035519,North Melbourne
615050,2023,Brewtech,36 Stubbs Street KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Indoor,24,-37.7900041052,144.93527771252857,Kensington
617955,2023,Mama Le,31 Stubbs Street KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Indoor,94,-37.79107092205605,144.9359190377,Kensington
106222,2017,University Hotel,"Part Ground , 272 Lygon Street CARLTON 3053",4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.80052682305912,144.96724408945,Carlton
619111,2017,T-Square Club Cafe,"Part Ground , 150 Victoria Street CARLTON 3053",4511,Cafes and Restaurants,Seats - Outdoor,98,-37.8061940498,144.96251193985646,Carlton
108570,2018,Fukutontei,"Part Ground , 276 Russell Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,48,-37.8099218089,144.967068942801,Melbourne (CBD)
104090,2018,Muleta's,"Ground , 422-428 Queen Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,100,-37.808613249707605,144.9581118138,Melbourne (CBD)
103821,2011,Avist Cafe,"Suite 1, Ground , 89 Flemington Road NORTH MELBOURNE 3051",4511,Cafes and Restaurants,Seats - Outdoor,35,-37.79866485405,144.95298722599554,North Melbourne
108058,2007,The Bliss Lounge,"Basement , 11 Queen Street MELBOURNE 3000",4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.81862081553311,144.9619565192058,Melbourne (CBD)
105697,2008,Mills Bricks,"Shop 3,  Lonsdale Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Indoor,15,-37.81205905007985,144.96430732955,Melbourne (CBD)
106127,2008,Starbucks Coffee,247-249 Lygon Street CARLTON 3053,4511,Cafes and Restaurants,Seats - Indoor,60,-37.7996408805,144.9668101314614,Carlton
106170,2021,Chong Quing,"Unit 1011, 570 Lygon Street CARLTON VIC 3053",4511,Cafes and Restaurants,Seats - Indoor,66,-37.793139871315645,144.96904972775002,Carlton
106189,2021,Trotters Bistro,400 Lygon Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Indoor,125,-37.79763355435,144.96775692995354,Carlton
106095,2021,Tank Fish And Chippery,Ground 149 Lygon Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Outdoor,18,-37.80369884645,144.96611226587137,Carlton
108866,2021,Roobi,Ground 511 Spencer Street WEST MELBOURNE VIC 3003,4511,Cafes and Restaurants,Seats - Outdoor,16,-37.80875282355,144.94855409092963,West Melbourne (Residential)
110639,2020,KFC,Part 2 West Gate Freeway PORT MELBOURNE VIC 3207,4511,Cafes and Restaurants,Seats - Indoor,64,-37.8309908537,144.91860233088727,Port Melbourne
110339,2018,Alliance Catering,"Part Ground , 77 Southbank Boulevard SOUTHBANK 3006",4511,Cafes and Restaurants,Seats - Indoor,82,-37.822929508399994,144.96700336640927,Southbank
534003,2022,Dragonball Dumpling,70 Victoria Street CARLTON VIC 3053,4512,Takeaway Food Services,Seats - Indoor,20,-37.806714235169665,144.9654725569,Carlton
101111,2020,The Mess Hall,51 Bourke Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,54,-37.81200668150876,144.9717966909,Melbourne (CBD)
611395,2023,Arry Café,563 Flinders Street MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,15,-37.821087851399994,144.95590050926558,Melbourne (CBD)
103943,2023,Xpressomondo,33-35 Degraves Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,22,-37.81710292815,144.96547612714323,Melbourne (CBD)
103592,2023,Grill'd,83 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,60,-37.815461267220016,144.9717264012,Melbourne (CBD)
103923,2023,Cafe Kinetic,Ground 103 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,115,-37.81556721749156,144.97096432815,Melbourne (CBD)
579252,2023,Guzman Y Gomez,"Tenancy 7A, 567 Collins Street MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Outdoor,11,-37.8190200855,144.95572468102446,Melbourne (CBD)
102141,2023,Le Petit Chateau,"Shop 9-10, Block Arcade MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,25,-37.81552770375,144.96434075395388,Melbourne (CBD)
109267,2023,1932 Cafe & Restaurant,"Shop 10, Ground 93-107 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,24,-37.81529690772045,144.9661030243,Melbourne (CBD)
102152,2023,Meatmaiden,"Shop 11, Basement 195 Little Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,100,-37.814502920035494,144.96784765085,Melbourne (CBD)
102161,2023,Farmer's Daughters,95 Exhibition Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,68,-37.81363930815,144.9706863215771,Melbourne (CBD)
108272,2023,Liaison,Ground 22 Ridgway Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,10,-37.812922800699994,144.97248903889778,Melbourne (CBD)
105299,2023,Ibis Styles Kingsgate,"Basement, Part Ground & Levels 1-6 131 King Street MELBOURNE VIC 3000",4400,Accommodation,Seats - Indoor,37,-37.8170831234,144.9555048584872,Melbourne (CBD)
101158,2023,Coffee Logic,Part Ground 575 Bourke Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,24,-37.816513109291506,144.95666971704998,Melbourne (CBD)
105950,2023,Uncle David's Cafe,"Shop 8, 530 Little Collins Street MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Indoor,8,-37.8168797463,144.95710995453825,Melbourne (CBD)
108069,2023,The Turf Accountants,"Unit 1, LwrGround 131 Queen Street MELBOURNE VIC 3000",4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.8154953739,144.96053353722417,Melbourne (CBD)
105957,2023,Ninetys,Part Ground 382 Little Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,15,-37.81556022236581,144.96194810085,Melbourne (CBD)
105961,2023,Gordons Cafe & Bar,"Shop 3-5, 306 Little Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,30,-37.81472868260109,144.9643479344,Melbourne (CBD)
109273,2023,Gopal's Vegetarian Restaurant,Level 1-2 139-141 Swanston Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,80,-37.81441145705,144.96573187201267,Melbourne (CBD)
103597,2023,Urban Deli,"Shop 8, Gnd & Mezz 121 Exhibition Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,100,-37.81281419155,144.97010937553796,Melbourne (CBD)
103597,2023,Nashi,"Shop W3, 111 Bourke Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,31,-37.81281419155,144.97010937553796,Melbourne (CBD)
108591,2023,Brioche by Philip,"Shop 1, Ground 114 Russell Street MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Indoor,4,-37.813492171250005,144.96902133174189,Melbourne (CBD)
101113,2023,Tokyo Hustle,Level 2 59-63 Bourke Street MELBOURNE VIC 3000,4520,"Pubs, Taverns and Bars",Seats - Indoor,80,-37.81212342700134,144.9715655659,Melbourne (CBD)
636824,2023,Bourke and Willis,"Tenancy 24, Ground 515 Little Bourke Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,40,-37.815318936249994,144.9573920138448,Melbourne (CBD)
636824,2023,Crisp Creative Salad,"Tenancy 20, Ground 550 Bourke Street MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Outdoor,20,-37.815318936249994,144.9573920138448,Melbourne (CBD)
636824,2023,Dumpling Kingdom,"Tenancy 7, Ground 181 William Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,8,-37.815318936249994,144.9573920138448,Melbourne (CBD)
636824,2023,Little Cupcakes,"Tenancy 6, Ground 181 William Street MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Outdoor,10,-37.815318936249994,144.9573920138448,Melbourne (CBD)
101175,2023,Bluestones 520 Cafe,"Unit 3, Ground 520 Bourke Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,70,-37.81527042376558,144.9583892682,Melbourne (CBD)
101186,2023,Corner & Bench,408 Bourke Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,32,-37.81440085408701,144.96148187519998,Melbourne (CBD)
