description,latitude,longitude,clue_area
Leaf Type - With Bottle Refill Tap - JJ Holland Park,-37.79786751874929,144.92606408339236,Kensington
Stainless Steel Drinking Fountain - Leaf Type,-37.815185695578855,144.95257756009232,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.809593623030885,144.96424038761432,Melbourne (CBD)
Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,-37.810693329155406,144.983071937749,Southbank
Leaf Type - With Bottle Refill Tap - Shrine of Remembrance Reserve,-37.83028525455125,144.97264952949166,Other
Stainless Steel Drinking Fountain - Leaf Type,-37.81767138974231,144.9462535088493,Docklands
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80443768421831,144.9634305261689,Melbourne (CBD)
Drinking Fountain - Monument Style Type 2 - Hardy Reserve,-37.78528327065247,144.96619195051946,Parkville
Stainless Steel Drinking Fountain - Leaf Type - Princes Park,-37.78493695299493,144.96233927588727,Parkville
Leaf Type - With Bottle Refill Tap - Carlton Gardens North,-37.80241728553812,144.97202290316702,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.809316361164214,144.95453335359068,Melbourne (CBD)
Treated Timber Drinking Fountain - Sturt Street Reserve,-37.829762043290245,144.9650239066239,Southbank
Drinking Fountain - Monument Style Type 2 - Argyle Square,-37.80282308235531,144.96630068198394,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.81319698844885,144.97374469190206,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81331469375451,144.9666513135716,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.811468256332006,144.96175067722208,Melbourne (CBD)
Leaf Type - Dog Bowl - Stockmans Way,-37.79403468455117,144.91961812395766,Other
Stainless Steel Drinking Fountain - Leaf Type,-37.81678974689995,144.9693369693412,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.81601000604859,144.97270242239682,Melbourne (CBD)
Leaf Type - With Bottle Refill Tap - Fawkner Park,-37.84249232047023,144.9843961780638,South Yarra
Stainless Steel Drinking Fountain - Leaf Type,-37.8148665286666,144.979341237583,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.81841607031649,144.94658139539987,Docklands
Stainless Steel Drinking Fountain - Leaf Type,-37.8188136383738,144.942903892035,Docklands
Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,-37.81358696797776,144.9803405398592,Southbank
Leaf Type - With Bottle Refill Tap - Carlton Gardens South,-37.80596124931496,144.97143107579004,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.82034342836768,144.94031908099987,Other
Stainless Steel Drinking Fountain - Leaf Type - Princes Park,-37.78098685657206,144.962456506622,Parkville
Drinking Fountain - Lygon St Type,-37.79775185327968,144.96744736482998,Parkville
Leaf Type - Dog Bowl  - Railway Place And Miller Street Reserve,-37.80566602896913,144.94256675118035,North Melbourne
Stainless Steel Drinking Fountain - Leaf Type - Parkville Gardens,-37.779553322018664,144.93984653851456,Other
