description,latitude,longitude,clue_area
Treated Timber Drinking Fountain - Stock Bridge (KENSINGTON),-37.79016688522425,144.92406824328089,Kensington
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.82186723614085,144.9572554993872,Southbank
Stainless Steel Drinking Fountain - Leaf Type,-37.81437281760768,144.9443629296941,Docklands
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.830658429920206,144.97605393970306,Other
Leaf Type - With Bottle Refill Tap - Pleasance Gardens,-37.79639356481317,144.9464489931069,North Melbourne
Stainless Steel Drinking Fountain - Old Docklands Type,-37.81337112781817,144.94357125504956,Docklands
Stainless Steel Drinking Fountain - Leaf Type,-37.810438177722986,144.96409803572945,Melbourne (CBD)
Drinking fountain - unspecified type - Alexandra Park,-37.819571118805214,144.97182464875007,Melbourne (CBD)
Treated Timber Drinking Fountain - JJ Holland Park,-37.798924491881245,144.92595592847908,Kensington
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81027785022815,144.9610923413044,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.82842091627398,144.98460191449672,Southbank
Leaf Type - Dog Bowl  - Royal Park,-37.79511866633808,144.95091878885694,Parkville
Drinking fountain - Historic or Heritage Drinking Fountains - JJ Holland Park,-37.79745516285821,144.92349296059965,Kensington
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81152641068227,144.9728037168352,Melbourne (CBD)
Duke & Duchess of York Memorial Drinking Fountain,-37.80663190787703,144.95991334440367,Melbourne (CBD)
Leaf Type - Dog Bowl  - Newmarket Reserve,-37.78784948378831,144.92456233354102,Kensington
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80899368753833,144.9728686722591,Melbourne (CBD)
Leaf Type - Dog Bowl - Fawkner Park,-37.843405472059246,144.9823703451879,South Yarra
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81437973339851,144.97601583515225,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81818027452629,144.97128244641144,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.812710697465654,144.96535589295792,Melbourne (CBD)
Drinking Fountain - Type 1,-37.81956008903184,144.96060041327848,Melbourne (CBD)
Stainless Steel Drinking Fountain - Old Docklands Type,-37.815397268275994,144.9405619842941,Docklands
Stainless Steel Drinking Fountain - Leaf Type,-37.81884561014748,144.94837757274016,Docklands
Stainless Steel Drinking Fountain - Leaf Type,-37.82000241423202,144.9437625580217,Other
Drinking Fountain - Type 2 - Birrarung Marr,-37.818466012455424,144.97388211503446,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Kings Domain South,-37.8334339089649,144.98151523466336,South Yarra
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81237811232576,144.96521212904446,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.78073096453612,144.95108741208116,Parkville
Stainless Steel Drinking Fountain - Leaf Type - Reeves Street Park,-37.79376491305337,144.97024082502696,Carlton
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.8163642527943,144.95539891425878,Melbourne (CBD)
Treated Timber Drinking Fountain - Ievers Reserve,-37.79686727949099,144.952046464975,Parkville
Stainless Steel Drinking Fountain - Leaf Type,-37.8213916576197,144.94536775680646,Other
Leaf Type - Dog Bowl  - Fawkner Park,-37.8386331437282,144.97805941362765,Other
Stainless Steel Drinking Fountain - Leaf Type,-37.81378184056998,144.94225864282328,Docklands
Stainless Steel Drinking Fountain - Leaf Type - Parliament Reserve,-37.80980631970157,144.97383443627947,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81276680167682,144.9815543655956,Southbank
Drinking fountain - Historic or Heritage fountains - Royal Park,-37.78205389103602,144.95697021635434,Parkville
Leaf Type - Dog Bowl  - Princes Park,-37.7914165845557,144.96125460876374,Parkville
Leaf Type - Dog Bowl  - Canning & Palmerston St Reserve,-37.796396827991096,144.97292609129818,Carlton
Stainless Steel Drinking Fountain - Leaf Type,-37.80633683559588,144.9590744803669,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81649090115357,144.98515748991457,Southbank
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80530265416531,144.96955831322754,Melbourne (CBD)
Leaf Type - With Bottle Refill Tap - Carlton Gardens North,-37.80211398428,144.97283100368065,Melbourne (CBD)
Treated Timber Drinking Fountain - Miles & Dodds Street Reserve,-37.828673986591355,144.9672264971803,Southbank
Stainless Steel Drinking Fountain - Leaf Type,-37.81932147571993,144.94249797871333,Docklands
Concrete Drinking Fountain,-37.77845421707277,144.95603509792244,Other
Stainless Steel Drinking Fountain - Leaf Type,-37.80626983275522,144.95806339729006,Melbourne (CBD)
