name,artist,art_date,address,category,latitude,longitude
William Ievers Junior Memorial Drinking Fountain,Charles Douglas Richardson,1916,"80 Rathdowne Street, CARLTON",Monument,-37.7982578658973,144.97056466482599
South African War Memorial,Architect - G. De Lacy-Evans Sculptor - Joseph Hamilton,1904,"254 St Kilda Road, SOUTHBANK",Monument,-37.8259414951225,144.971856818756
People's Path,Ian Sprague et al,1978-1979,"4 Lansdowne Street, EAST MELBOURNE",Art,-37.8110235407409,144.978389216138
Samuel Mauger Drinking Fountain,unknown,1937,"110 Victoria Parade, EAST MELBOURNE",Monument,-37.8082489459354,144.975315385075
Robert Burns Memorial,George Anderson Lawson,1903,"10 Spring Street, EAST MELBOURNE",Monument,-37.814373582353,144.974720032667
Silence,Adrian Mauriks,2003,"55B Newquay Promenade, DOCKLANDS",Art,-37.8150877523684,144.941573967784
Silence,Adrian Mauriks,2003,"45 Newquay Promenade, DOCKLANDS",Art,-37.8151131017782,144.941629273114
Boy on a Turtle,unknown,c. 1850,"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Art,-37.8143892616922,144.979910150531
"Sir Edward ""Weary"" Dunlop",Peter Corlett,1995,"242 St Kilda Road, SOUTHBANK",Monument,-37.8253098347073,144.971594300075
Duke and Duchess of York Memorial,J. Churchman & Sons,1901,"512 Elizabeth Street, MELBOURNE",Monument,-37.806629256046,144.959908916093
King Edward VII Memorial,Sculptor Edgar Bertram Mackennal; founder A.B. Burton,1920,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Monument,-37.8226717982934,144.970988232874
Time and Tide,Akio Makigawa,1994,"252 Little Collins Street, MELBOURNE",Art,-37.8143983948935,144.96625088381
Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,"Birrarung Marr, MELBOURNE",Art,-37.8187628091159,144.974136155999
Threaded Field,Simon Perry,1999,"683 La Trobe Street, DOCKLANDS",Art,-37.8152785788316,144.947248109473
Vault,Ron Roberston-Swann,1980,"51 Grant Street, SOUTHBANK",Art,-37.8260714214476,144.967732756918
Bust of Dr Louis Smith,Edgar Bertram Mackennal,1914,"9 Nicholson Street, CARLTON",Monument,-37.8047443111517,144.972452056885
Painted Poles,Jennifer McCarthy,1992,"322 Swanston Street, MELBOURNE",Art,-37.8099325911658,144.964088812819
Silence,Adrian Mauriks,2003,"50 Newquay Promenade, DOCKLANDS",Art,-37.8150528491189,144.94158776112
Birrarung Wilam,"Vicki Couzens, Lee Darroch and Treahna Hamm",2006,"Birrarung Marr, MELBOURNE",Art,-37.818595693813,144.971821646868
Weathervanes,Daniel Jenkins,1993,"184 Swanston Street, MELBOURNE",Art,-37.8134422577685,144.965689009116
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.82012299082,144.959360068025
Dolphin Fountain,June Arnold,1982,"4 Lansdowne Street, EAST MELBOURNE",Fountain,-37.8118884344659,144.980015806146
Commonwealth Games Aquatic Sculptures - Eels,unknown,2006,"Kensington Community Recreation Centre, KENSINGTON",Art,-37.7966290593729,144.924306764698
Eel Trap,Fiona Clarke and Ken McKean,2003,"Birrarung Marr, MELBOURNE",Art,-37.8191221824373,144.97407578866
Parrallax,Ari Purhonen,2002,"47 Wurundjeri Way, DOCKLANDS",Art,-37.8196059887556,144.951325455868
Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,"Birrarung Marr, MELBOURNE",Art,-37.8186666064737,144.974100167285
Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,"Birrarung Marr, MELBOURNE",Art,-37.8186882333343,144.974128540287
"Another View, Site 1",Ray Thomas,1994,"152 Spring Street, EAST MELBOURNE",Art,-37.8112942929369,144.973168986334
Boy and Pelican,William Leslie Bowles,1936,"84 Clarendon Street, EAST MELBOURNE",Art,-37.8137675376712,144.982771754404
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8200541369817,144.959680160075
Queen Victoria Memorial,James White,1907,"Residence, Alexandra Gardens, Alexandra Avenue, MELBOURNE",Monument,-37.8218411817137,144.972479044613
Dinny O'Hearn Fountain,unknown,1981,"331 Lygon Street, CARLTON",Fountain,-37.7975991142625,144.967306467399
Blowhole,Duncan Stemler,2005,"15 Harbour Esplanade, DOCKLANDS",Art,-37.8219308131053,144.946798545611
Separation Memorial,unknown,1950,"401 King Street, WEST MELBOURNE",Monument,-37.810695135969,144.953685908935
Sundial,unknown,unknown,"392 William Street, MELBOURNE",Art,-37.8103161768399,144.954937553695
Threaded Field,Simon Perry,1999,"689 La Trobe Street, DOCKLANDS",Art,-37.8154836225539,144.946712125445
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.820111630197,144.959404150284
Horse Hitching Post,unknown,c. 1900,"2 Spring Street, EAST MELBOURNE",Art,-37.8150299769363,144.974931527616
Lynch's Bridge Mosaic Mural,Elizabeth MacKinnon,1998,"Epsom Road Underpass, KENSINGTON",Art,-37.7902053576258,144.92393918587
