sensor_name,sensing_date,year,month,day_of_week,hour,total,is_weekend,latitude,longitude
Col15_T,2025-08-23,2025,8,Saturday,13,401,TRUE,-37.81362543,144.97323591
Signal1647_T,2025-06-14,2025,6,Saturday,7,11,TRUE,-37.81959923,144.9632832
Lyg260_T,2025-08-25,2025,8,Monday,8,53,FALSE,-37.80107122,144.96704554
Swa148_T,2025-07-13,2025,7,Sunday,20,748,TRUE,-37.81414075,144.96609379
Swa148_T,2025-05-27,2025,5,Tuesday,3,22,FALSE,-37.81414075,144.96609379
Spencer_T,2025-06-26,2025,6,Thursday,18,296,FALSE,-37.821728,144.95557015
FLDegC_T,2025-06-05,2025,6,Thursday,18,117,FALSE,-37.81687226,144.96559144
Lat224_T,2025-09-20,2025,9,Saturday,15,586,TRUE,-37.80996494,144.96216521
Bou231_T,2025-06-27,2025,6,Friday,18,628,FALSE,-37.81333081,144.96675571
Lon364_T,2025-06-24,2025,6,Tuesday,18,661,FALSE,-37.81234775,144.96153311
Vic_T,2025-08-30,2025,8,Saturday,22,111,TRUE,-37.80606888,144.95644692
MCEC_T,2025-08-20,2025,8,Wednesday,15,1180,FALSE,-37.82401776,144.95604426
FliS_T,2025-05-30,2025,5,Friday,1,57,FALSE,-37.81911705,144.96558255
EntPark1671_T,2025-09-19,2025,9,Friday,12,14,FALSE,-37.81996544,144.95981454
LatWill_T,2025-07-10,2025,7,Thursday,1,13,FALSE,-37.81193681,144.95621105
WebBN_T,2025-09-23,2025,9,Tuesday,23,7,FALSE,-37.82293543,144.9471751
AG_T,2025-04-28,2025,4,Monday,3,3,FALSE,-37.8199817,144.96872865
Lyg309_T,2025-04-24,2025,4,Thursday,7,46,FALSE,-37.79808192,144.96721013
Lyg309_T,2025-04-30,2025,4,Wednesday,4,8,FALSE,-37.79808192,144.96721013
Spen161_T,2025-08-11,2025,8,Monday,2,14,FALSE,-37.8172861,144.95319102
Spen161_T,2025-08-14,2025,8,Thursday,14,746,FALSE,-37.8172861,144.95319102
Errol23_T,2025-04-21,2025,4,Monday,7,22,FALSE,-37.80454949,144.94921863
Pow61_T,2025-10-04,2025,10,Saturday,4,8,TRUE,-37.82392385,144.96299677
Spen475_T,2025-09-30,2025,9,Tuesday,7,18,FALSE,-37.80953359,144.94939004
Eli368_T,2025-06-13,2025,6,Friday,2,103,FALSE,-37.81009465,144.96143149
Eli368_T,2025-06-28,2025,6,Saturday,13,1815,TRUE,-37.81009465,144.96143149
King2_T,2025-06-09,2025,6,Monday,18,168,FALSE,-37.82009057,144.95758725
Spen201_T,2025-06-06,2025,6,Friday,2,26,FALSE,-37.81694221,144.95303935
Col15_T,2025-07-06,2025,7,Sunday,11,284,TRUE,-37.81362543,144.97323591
Bou292_T,2025-08-14,2025,8,Thursday,6,78,FALSE,-37.81349441,144.96515323
Bou292_T,2025-10-05,2025,10,Sunday,14,2840,TRUE,-37.81349441,144.96515323
Lon364_T,2025-05-27,2025,5,Tuesday,1,11,FALSE,-37.81234775,144.96153311
BouHbr_T,2025-10-13,2025,10,Monday,4,1,FALSE,-37.81876474,144.94710545
Bou283_T,2025-10-16,2025,10,Thursday,9,554,FALSE,-37.81380668,144.96516718
Col254_T,2025-09-16,2025,9,Tuesday,1,15,FALSE,-37.81564191,144.965499
Spr201_T,2025-07-20,2025,7,Sunday,16,250,TRUE,-37.80999341,144.97227587
Errol23_T,2025-10-10,2025,10,Friday,23,57,FALSE,-37.80454949,144.94921863
Spen484_T,2025-09-23,2025,9,Tuesday,8,80,FALSE,-37.80896733,144.94931703
Lat526_T,2025-09-15,2025,9,Monday,2,1,FALSE,-37.81304149,144.95155955
Spen161_T,2025-07-30,2025,7,Wednesday,22,178,FALSE,-37.8172861,144.95319102
Bou292_T,2025-09-15,2025,9,Monday,5,13,FALSE,-37.81349441,144.96515323
Bou688_T,2025-04-19,2025,4,Saturday,10,887,TRUE,-37.81686075,144.95358075
Eli263_T,2025-07-19,2025,7,Saturday,12,646,TRUE,-37.81252157,144.9619401
QVMQ_T,2025-08-28,2025,8,Thursday,15,414,FALSE,-37.80631581,144.95866697
Fra118_T,2025-08-08,2025,8,Friday,18,200,FALSE,-37.80841815,144.95906316
QVMQ_T,2025-07-25,2025,7,Friday,19,289,FALSE,-37.80631581,144.95866697
MCEC_T,2025-06-17,2025,6,Tuesday,13,720,FALSE,-37.82401776,144.95604426
Eli263_T,2025-05-31,2025,5,Saturday,5,76,TRUE,-37.81252157,144.9619401
Mac330_T,2025-05-05,2025,5,Monday,22,2,FALSE,-37.79497059,144.93530329
AG_T,2025-05-11,2025,5,Sunday,10,3270,TRUE,-37.8199817,144.96872865
Spr201_T,2025-05-24,2025,5,Saturday,4,7,TRUE,-37.80999341,144.97227587
UM2_T,2025-07-05,2025,7,Saturday,6,9,TRUE,-37.79844526,144.96411782
UM2_T,2025-09-06,2025,9,Saturday,1,9,TRUE,-37.79844526,144.96411782
280Will_T,2025-05-08,2025,5,Thursday,6,32,FALSE,-37.81246271,144.95690188
280Will_T,2025-08-08,2025,8,Friday,18,280,FALSE,-37.81246271,144.95690188
RMIT14_T,2025-09-29,2025,9,Monday,18,860,FALSE,-37.80767455,144.96309114
RMIT14_T,2025-10-08,2025,10,Wednesday,4,25,FALSE,-37.80767455,144.96309114
Lat526_T,2025-09-26,2025,9,Friday,19,29,FALSE,-37.81304149,144.95155955
Lon364_T,2025-09-14,2025,9,Sunday,16,772,TRUE,-37.81234775,144.96153311
WatCit_T,2025-05-25,2025,5,Sunday,23,7,TRUE,-37.81564989,144.93970694
Col700_T,2025-06-02,2025,6,Monday,21,69,FALSE,-37.81982992,144.95102555
Col623_T,2025-09-06,2025,9,Saturday,2,28,TRUE,-37.81909256,144.95452748
QVMQ_T,2025-09-24,2025,9,Wednesday,20,398,FALSE,-37.80631581,144.95866697
