trading_name,business_address,industry_desc,seating_type,num_seats,longitude,latitude,clue_area,seating_category,has_outdoor,census_year
Lindt Chocolat Cafe,"Shop , Abutting 271 Collins Street MELBOURNE 3000",Cafes and Restaurants,Seats - Indoor,38,144.96497351275002,-37.81654781240799,Melbourne (CBD),Medium (30-99 seats),FALSE,2019
Chilli India,"Part Ground , 140-146 King Street MELBOURNE 3000",Cafes and Restaurants,Seats - Indoor,75,144.95628515442587,-37.81673696529579,Melbourne (CBD),Medium (30-99 seats),FALSE,2016
Garage Cafe & Bar,"Part Ground , 213 Berkeley Street MELBOURNE 3000",Cafes and Restaurants,Seats - Indoor,70,144.95841066532603,-37.80041001275001,Carlton,Medium (30-99 seats),FALSE,2017
Teresa's Cafe,Part 90-98 Coode Road WEST MELBOURNE 3003,Takeaway Food Services,Seats - Indoor,3,144.92234829860743,-37.811210543399994,West Melbourne (Industrial),Small (< 30 seats),FALSE,2017
Hokuto Japanese Cafe,"Ground , 389 Swanston Street MELBOURNE 3000",Takeaway Food Services,Seats - Outdoor,8,144.9634152524011,-37.809455816,Melbourne (CBD),Small (< 30 seats),TRUE,2018
Sheila Baxter Training Centre Pty Ltd,91-93 Queens Bridge Street SOUTHBANK 3006,Technical and Vocational Education and Training,Seats - Indoor,24,144.96090633511037,-37.8243599276,Southbank,Small (< 30 seats),FALSE,2018
Cafe Trutrack,"Part Ground , 56-62 Leveson Street NORTH MELBOURNE 3051",Cafes and Restaurants,Seats - Outdoor,20,144.9514856841173,-37.8028418476,North Melbourne,Small (< 30 seats),TRUE,2019
Counter,104B Errol Street NORTH MELBOURNE 3051,Takeaway Food Services,Seats - Outdoor,4,144.9500268711638,-37.80247625545,North Melbourne,Small (< 30 seats),TRUE,2019
Dumpling Station,Part 201-205 Kensington Road WEST MELBOURNE 3003,Takeaway Food Services,Seats - Indoor,10,144.91683352615,-37.80088043885976,West Melbourne (Industrial),Small (< 30 seats),FALSE,2019
The Deck Cafe On St Kilda Road,Part Ground 479 St Kilda Road MELBOURNE VIC 3004,Cafes and Restaurants,Seats - Indoor,32,144.97855578386498,-37.84188069845,Melbourne (Remainder),Medium (30-99 seats),FALSE,2019
Ganache Chocolate Lounge,Ground 245 Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,16,144.96582950754998,-37.816061838299795,Melbourne (CBD),Small (< 30 seats),TRUE,2021
Hudsons Elizabeth Street,84-86 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,31,144.96418214767343,-37.8159129499,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
Polepole Bar & Kitchen/Glamp,Part Ground & Level 1 267 Little Collins Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",Seats - Indoor,70,144.9656017104,-37.814831977068074,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
Rockpool Events & Catering,Gnd & Flr1 7 Alfred Place MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,185,144.9699104238,-37.8140128186636,Melbourne (CBD),Large (100+ seats),FALSE,2021
Elements Catering,Part Gnd Lvl Foyer & Shop 3 Podium 120 Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,50,144.9693156901375,-37.81400034895,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
Garcon Paris Steakhouse,"Shop 5, Ground 90 Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,65,144.9702869013,-37.814017675237665,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
Cafenatics,"Shop 4, 500 Bourke Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Outdoor,39,144.9587722405,-37.81494328910046,Melbourne (CBD),Medium (30-99 seats),TRUE,2021
Movida Aqui,"Shop 7, 500 Bourke Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Outdoor,50,144.9587722405,-37.81494328910046,Melbourne (CBD),Medium (30-99 seats),TRUE,2021
Pho Melbourne,170 William Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,57,144.9582198443308,-37.8149175538,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
Grill'd Healthy Burgers,369-371 Little Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,90,144.96178171780002,-37.81367164858022,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
David's Spicy Pot,166 Russell Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,76,144.96820630246282,-37.8123200498,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
Hibachi,228-230 King Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,100,144.95530902931483,-37.81478619225,Melbourne (CBD),Large (100+ seats),FALSE,2021
Shanxi Street Food,260-262 Russell Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,62,144.96722712478976,-37.810254818450005,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
The Haileyburian,Part Ground 383 King Street WEST MELBOURNE VIC 3003,Cafes and Restaurants,Seats - Outdoor,12,144.9529244668,-37.81110763142357,West Melbourne (Residential),Small (< 30 seats),TRUE,2021
Hard Pressed,76 Wellington Parade EAST MELBOURNE VIC 3002,Cafes and Restaurants,Seats - Outdoor,6,144.98755482575,-37.816377283351045,East Melbourne,Small (< 30 seats),TRUE,2021
Magnolia Court Boutique Hotel,95-101 Powlett Street EAST MELBOURNE VIC 3002,Accommodation,Seats - Outdoor,12,144.9853028460347,-37.81337466405,East Melbourne,Small (< 30 seats),TRUE,2021
Degani @ East Melbourne,"Shop 1, 372-376 Albert Street EAST MELBOURNE VIC 3002",Cafes and Restaurants,Seats - Outdoor,18,144.9787049235106,-37.8096392096,East Melbourne,Small (< 30 seats),TRUE,2021
Treasury Cafe,Part Level 1 1 MacArthur Street EAST MELBOURNE VIC 3002,Cafes and Restaurants,Seats - Outdoor,80,144.97567152833767,-37.81280015315,East Melbourne,Medium (30-99 seats),TRUE,2021
Urban Central Accommodation,Pt Ground & Levels 1-5 334-342 City Road SOUTHBANK VIC 3006,Accommodation,Seats - Indoor,50,144.9573512903071,-37.8278377219,Southbank,Medium (30-99 seats),FALSE,2022
Cuff,Part Ground 325 Flinders Lane MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,20,144.96349102099998,-37.817758351759565,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Maha Restaurant,Basement 21-27 Bond Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,20,144.96253029605134,-37.8181930679,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Cafe Andiamo,36-38 Degraves Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,68,144.9659026789,-37.817063086367355,Melbourne (CBD),Medium (30-99 seats),TRUE,2023
Pastuso,19 ACDC Lane MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,170,144.97115550389998,-37.81600505953291,Melbourne (CBD),Large (100+ seats),FALSE,2023
Pho Nom,"Tenancy 4, 567 Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,16,144.95572468102446,-37.8190200855,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Brunetti City,Ground 250 Flinders Lane MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,300,144.96565081735002,-37.816351987746074,Melbourne (CBD),Large (100+ seats),FALSE,2023
Rush Sushi,"Shop 62, 45 Collins Street MELBOURNE VIC 3000",Takeaway Food Services,Seats - Indoor,16,144.97262557265284,-37.81430518125,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Southern Xross Kebabs,102 Spencer Street MELBOURNE VIC 3000,Takeaway Food Services,Seats - Indoor,17,144.95435075675,-37.81867521100554,Melbourne (CBD),Small (< 30 seats),FALSE,2023
The Bottom End,577-583 Little Collins Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",Seats - Indoor,70,144.95560629865,-37.81782615791781,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Saving Grace,30 Church Lane MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,50,144.95779868354998,-37.81719662136835,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Mitre Tavern,Mitre Tavern 5-9 Bank Place MELBOURNE VIC 3000,"Pubs, Taverns and Bars",Seats - Outdoor,120,144.96028846791666,-37.8168041117,Melbourne (CBD),Large (100+ seats),TRUE,2023
Korean Healthy Food BBQ Box,Part Ground 459 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,36,144.95954996381323,-37.81660735525,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Blahnik Corporate Catering,30 Equitable Place MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,48,144.96330054055,-37.815577516659154,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Two Conversations,26 Equitable Place MELBOURNE VIC 3000,Takeaway Food Services,Seats - Outdoor,8,144.96330054055,-37.815577516659154,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Sambar Restaurant,"Shop 4, 353 Little Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Outdoor,12,144.96299531095,-37.815698280289155,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Teppanyaki Inn,"Rear Shop 2, Ground 182 Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,70,144.96744010114998,-37.814786243616254,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Mister Munro,Part 215 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,100,144.96708078558916,-37.81446502085,Melbourne (CBD),Large (100+ seats),FALSE,2023
Time-Lapse Brewers,"Shop 5-6, 540 Little Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,21,144.9567679862,-37.81696667597237,Melbourne (CBD),Small (< 30 seats),FALSE,2023
LE SHOPPE,"Suite 8, Ground 430 Little Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,15,144.9601098028,-37.81596941067596,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Caffe E Torta,314 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,28,144.9639640607,-37.81438773817147,Melbourne (CBD),Small (< 30 seats),FALSE,2023
My Modern Fresh Tea & Yogurt,143A Russell Street MELBOURNE VIC 3000,Takeaway Food Services,Seats - Indoor,4,144.96796810475,-37.81310953331891,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Ikkai,"Shop 19, 239 Bourke Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,38,144.966619556,-37.81373785326741,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Bar Ampere,16 Russell Place MELBOURNE VIC 3000,"Pubs, Taverns and Bars",Seats - Indoor,78,144.9674365318,-37.813539026856645,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Joy Cupcakes,"Shop 7EB, 2 Southern Cross Lane MELBOURNE VIC 3000",Bakery Product Manufacturing (Non-factory based),Seats - Outdoor,18,144.97010937553796,-37.81281419155,Melbourne (CBD),Small (< 30 seats),TRUE,2023
San Telmo Restaurant,"Shop 2, 12-18 Meyers Place MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,85,144.9724843766,-37.81225381732877,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Pizza Pizza Pizza,"Shop 1, 12-18 Meyers Place MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,25,144.9724843766,-37.81225381732877,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Brightside Bagels,612 Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,20,144.9553258392931,-37.8162289918,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Chilangos,"Tenancy 21, Ground 550 Bourke Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,26,144.9573920138448,-37.815318936249994,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Food Craft,429 Little Bourke Street MELBOURNE VIC 3000,Takeaway Food Services,Seats - Indoor,22,144.95996879856824,-37.814286305349995,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Chiki Chiki,Part Ground 187-193 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,20,144.9627082819642,-37.81388772525,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Superhiro,211-213 Swanston Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,98,144.96501463003398,-37.8128465998,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Lancemore Crossley Street Hotel,Level 1-6 47-55 Little Bourke Street MELBOURNE VIC 3000,Accommodation,Seats - Indoor,32,144.9711096464,-37.81102403390212,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Pho Thin,"Shop C, 389 Lonsdale Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,30,144.96101184235,-37.81288037796524,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Top Tongue,"Shop A-B, 389 Lonsdale Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Outdoor,25,144.96101184235,-37.81288037796524,Melbourne (CBD),Small (< 30 seats),TRUE,2023
The Wanderer,"Tenancy 4, 399 Lonsdale Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,150,144.96068779771414,-37.81304714185001,Melbourne (CBD),Large (100+ seats),FALSE,2023
Kirk's Wine Bar,Ground 384 Little Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,34,144.96132807458443,-37.8135435217,Melbourne (CBD),Medium (30-99 seats),TRUE,2023
Mekong Vietnam,Ground 241 Swanston Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,50,144.9647768889876,-37.81239279855,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
@T Ease,195 Lonsdale Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,60,144.96663043665,-37.81126816481424,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Yamato Japanese Restaurant,223 Exhibition Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,50,144.9695838654796,-37.8106706381,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Kenny's Bakery Cafe,53-55 Lonsdale Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,18,144.97071442655,-37.810057226852095,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Ten Square Cafe,118-120 Hardware Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,20,144.96070299637427,-37.81194747545,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Schnitz,Shop QS002 1-7 QV Square MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,76,144.965725053002,-37.81067861705,Melbourne (CBD),Medium (30-99 seats),TRUE,2023
Ippudo,18-22 Artemis Lane MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,12,144.965725053002,-37.81067861705,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Roll Mi,"Shop 15, 242 Exhibition Street MELBOURNE VIC 3000",Takeaway Food Services,Seats - Indoor,20,144.9699756013,-37.809415028369145,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Poked,"Shop 10, 36 Lonsdale Street MELBOURNE VIC 3000",Takeaway Food Services,Seats - Indoor,8,144.97072895345,-37.809196151079576,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Perch Cafe,Part Ground North Tower 485 La Trobe Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,20,144.9549226031,-37.81270723965592,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Hwajoo,"Shop 2, Ground 466-468 Little Lonsdale Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,40,144.95557300685,-37.812904618120335,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Ristretto Coffee,"Shop 1, 321 Exhibition Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,50,144.96845845080023,-37.80863587815,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
baru,373 King Street WEST MELBOURNE VIC 3003,Cafes and Restaurants,Seats - Indoor,24,144.95325156964998,-37.81166291174008,West Melbourne (Residential),Small (< 30 seats),FALSE,2023
Impresso Cafe,Ground 341 King Street WEST MELBOURNE VIC 3003,Cafes and Restaurants,Seats - Indoor,16,144.9535989249517,-37.8122960523,West Melbourne (Residential),Small (< 30 seats),FALSE,2023
City Of Melbourne Bowls Club Inc,City of Melbourne Bowls Club Inc. Flagstaff Gardens 3 Dudley Street WEST MELBOURNE VIC 3003,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",Seats - Indoor,110,144.9544197162,-37.81049114010241,West Melbourne (Residential),Large (100+ seats),FALSE,2023
Little Chef,"Unit 101, Level 1 28 Wills Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Outdoor,8,144.9572292191701,-37.81067687015,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Cherry Lane Espresso,Part Ground 350 Queen Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,42,144.95907937103996,-37.81042371855,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Damiao Panda Fan,Part Level 1 388-396 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,20,144.96142241447978,-37.809529892049994,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Marche Board Game Cafe,Ground 61-69 A'Beckett Street MELBOURNE VIC 3000,Amusement and Other Recreational Activities n.e.c.,Seats - Indoor,75,144.96174884242788,-37.8091931473,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
B'Churrasco,Level 1 61-69 A'Beckett Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,180,144.96174884242788,-37.8091931473,Melbourne (CBD),Large (100+ seats),FALSE,2023
Canto Melbourne,Part  Level 4 Building 14 RMIT University 414-418 Swanston Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,3,144.96458869234556,-37.80821791505,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Thailicious,"Unit 1, 355-357 Exhibition Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,52,144.96817506990635,-37.80752104815,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Dropout Chai Wala,"Tenancy 1, 46 La Trobe Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,21,144.9674182206,-37.8081753006367,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Top Tea,"Shop 2, 413-417 Elizabeth Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Outdoor,8,144.9605217744215,-37.80918733525,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Malaysian Laksa House,Ground 449 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,16,144.96021552779365,-37.808563616300006,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Yoi,"Shop G1, 163 Franklin Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Outdoor,36,144.95956878425,-37.809043487817426,Melbourne (CBD),Medium (30-99 seats),TRUE,2023
Ichigo,"Shop 3, 155 Franklin Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,100,144.95956878425,-37.809043487817426,Melbourne (CBD),Large (100+ seats),FALSE,2023
Market Espresso & Trolley Hire,Trolley Hire Queen Victoria Market Victoria Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,42,144.9576272223,-37.807832574221266,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
My Dumpling Meal,471 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,30,144.95995230458294,-37.80794068975,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Hwadam BBQ,502 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,90,144.96035058510245,-37.807198220100005,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Crowne Plaza Melbourne,Crowne Plaza 1-5 Spencer Street DOCKLANDS VIC 3008,Accommodation,Seats - Indoor,100,144.95501736365668,-37.8226703933,Docklands,Large (100+ seats),FALSE,2023
Tokyo Lamington,258 Elgin Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Indoor,24,144.9655338757,-37.79670704132525,Carlton,Small (< 30 seats),FALSE,2023
Master Lanzhou Noodle Express,"Shop F, Ground 700 Swanston Street CARLTON VIC 3053",Takeaway Food Services,Seats - Indoor,4,144.96480663662987,-37.799973455600004,Carlton,Small (< 30 seats),FALSE,2023
University Cafe / Universita Bar Restaurant,255 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Outdoor,56,144.9668380258472,-37.79947758885,Carlton,Medium (30-99 seats),TRUE,2023
Agostino,297 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Indoor,90,144.96704168875,-37.79838895068619,Carlton,Medium (30-99 seats),FALSE,2023
Tiamo,305 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Indoor,60,144.9670778438359,-37.79817987675,Carlton,Medium (30-99 seats),FALSE,2023
Milk The Cow Licensed Fromagerie,323 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Outdoor,20,144.96712579104337,-37.79777441195,Carlton,Small (< 30 seats),TRUE,2023
Heartattack and Vine,329 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Indoor,50,144.96714813756006,-37.79764335135,Carlton,Medium (30-99 seats),FALSE,2023
Taquito,350-352 Drummond Street CARLTON VIC 3053,"Pubs, Taverns and Bars",Seats - Outdoor,32,144.969271200536,-37.7977107399,Carlton,Medium (30-99 seats),TRUE,2023
Ballers Clubhouse,171-175 Elgin Street CARLTON VIC 3053,"Pubs, Taverns and Bars",Seats - Outdoor,20,144.96870745552718,-37.79750606065,Carlton,Small (< 30 seats),TRUE,2023
Gemma Simply Italian,183 Elgin Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Indoor,55,144.96838433175,-37.79752923455136,Carlton,Medium (30-99 seats),FALSE,2023
Vertue Coffee Roasters,8 Raffa Place CARLTON VIC 3053,Cafes and Restaurants,Seats - Outdoor,25,144.96838278487866,-37.79769237515001,Carlton,Small (< 30 seats),TRUE,2023
Carlton Yacht Club Bar,298 Lygon Street CARLTON VIC 3053,"Pubs, Taverns and Bars",Seats - Outdoor,40,144.96737628730443,-37.79998581375,Carlton,Medium (30-99 seats),TRUE,2023
Sultan's Express Curries,142 Rathdowne Street CARLTON VIC 3053,Takeaway Food Services,Seats - Indoor,10,144.9710396301,-37.79604572413072,Carlton,Small (< 30 seats),FALSE,2023
Al Dente Sapori,Part 161-163 Nicholson Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Outdoor,12,144.97480119085986,-37.79638866855,Carlton,Small (< 30 seats),TRUE,2023
the Prince Alfred Rooftop and Bar,Prince Alfred Hotel 191-197 Grattan Street CARLTON VIC 3053,"Pubs, Taverns and Bars",Seats - Indoor,120,144.96220861044998,-37.80045758588996,Carlton,Large (100+ seats),FALSE,2023
KFC Carlton,"Shop 2, 743-751 Swanston Street CARLTON VIC 3053",Cafes and Restaurants,Seats - Indoor,22,144.96364221241186,-37.8006200339,Carlton,Small (< 30 seats),FALSE,2023
Rice Bar Not Only Rice,"Shop 1, Ground 121 Grattan Street CARLTON VIC 3053",Cafes and Restaurants,Seats - Outdoor,40,144.9651040686224,-37.800770727300005,Carlton,Medium (30-99 seats),TRUE,2023
Subway Carlton,672 Swanston Street CARLTON VIC 3053,Takeaway Food Services,Seats - Outdoor,9,144.96419727160904,-37.80096178535,Carlton,Small (< 30 seats),TRUE,2023
Shooter McGavins,117 Grattan Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Indoor,12,144.96562403220003,-37.800799995418586,Carlton,Small (< 30 seats),FALSE,2023
Casa Del Gelato,Ground & Part Level 1 163 Lygon Street CARLTON VIC 3053,Takeaway Food Services,Seats - Outdoor,15,144.96643103892197,-37.801869708249995,Carlton,Small (< 30 seats),TRUE,2023
Good Measure Melbourne,193 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Outdoor,30,144.9665049085888,-37.8010957683,Carlton,Medium (30-99 seats),TRUE,2023
Dragon Hot Pot,111-113 Grattan Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Indoor,46,144.9657698624,-37.800816949082034,Carlton,Medium (30-99 seats),FALSE,2023
Nasi Lemak House,115 Grattan Street CARLTON VIC 3053,Takeaway Food Services,Seats - Outdoor,16,144.9656838828,-37.800806953445694,Carlton,Small (< 30 seats),TRUE,2023
Cairo Nights Restaurant & Bar,"Unit 5, 252 Lygon Street CARLTON VIC 3053",Cafes and Restaurants,Seats - Outdoor,48,144.96733566096634,-37.8013744973,Carlton,Medium (30-99 seats),TRUE,2023
Piccolo Mondo,240 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Outdoor,28,144.96724440138928,-37.8015801673,Carlton,Small (< 30 seats),TRUE,2023
Thai City Restaurant,124 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Indoor,90,144.96670200904998,-37.80443770077052,Carlton,Medium (30-99 seats),FALSE,2023
Ying Thai 2,110 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Outdoor,20,144.96670200904998,-37.80443770077052,Carlton,Small (< 30 seats),TRUE,2023
Saigon Pho Carlton,106 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Indoor,35,144.96670200904998,-37.80443770077052,Carlton,Medium (30-99 seats),FALSE,2023
T Theory,190 Queensberry Street CARLTON VIC 3053,Takeaway Food Services,Seats - Indoor,15,144.9627822651474,-37.80429627075,Carlton,Small (< 30 seats),FALSE,2023
Bobbie Peels,Sir Robert Peel Hotel 351-359 Queensberry Street NORTH MELBOURNE VIC 3051,"Pubs, Taverns and Bars",Seats - Indoor,70,144.9559534402919,-37.8039544673,North Melbourne,Medium (30-99 seats),FALSE,2023
The Rice Cooker,27 Flemington Road NORTH MELBOURNE VIC 3051,Cafes and Restaurants,Seats - Outdoor,10,144.95517743550033,-37.80067719885,North Melbourne,Small (< 30 seats),TRUE,2023
Avist Cafe,101 Flemington Road NORTH MELBOURNE VIC 3051,Cafes and Restaurants,Seats - Indoor,40,144.95270697348,-37.7984422838,North Melbourne,Medium (30-99 seats),FALSE,2023
The Kathmandu Cottage,Ground 349 Victoria Street WEST MELBOURNE VIC 3003,Cafes and Restaurants,Seats - Indoor,60,144.9497923517,-37.80539263525914,West Melbourne (Residential),Medium (30-99 seats),FALSE,2023
Jusik The Korean Restaurant,"Shop 1, 39-47 Peel Street WEST MELBOURNE VIC 3003",Cafes and Restaurants,Seats - Indoor,20,144.9554126059,-37.80717883879872,West Melbourne (Residential),Small (< 30 seats),FALSE,2023
Hello Jose,Ground 85 Peel Street WEST MELBOURNE VIC 3003,Cafes and Restaurants,Seats - Outdoor,40,144.9555841133822,-37.8061976165,West Melbourne (Residential),Medium (30-99 seats),TRUE,2023
Sahara Restaurant,Ground 465 Macaulay Road KENSINGTON VIC 3031,Cafes and Restaurants,Seats - Indoor,60,144.93153061808346,-37.7948496401,Kensington,Medium (30-99 seats),FALSE,2023
Kenny's Charcoal Chicken,497 Macaulay Road KENSINGTON VIC 3031,Takeaway Food Services,Seats - Indoor,12,144.9295057391,-37.79455872310194,Kensington,Small (< 30 seats),FALSE,2023
Local Folk Cafe,43 Epsom Road KENSINGTON VIC 3031,Cafes and Restaurants,Seats - Indoor,45,144.92559629717897,-37.7922394233,Kensington,Medium (30-99 seats),FALSE,2023
