trading_name,business_address,industry_desc,seating_type,num_seats,longitude,latitude,clue_area,seating_category,has_outdoor,census_year
Dumplings Plus,269 Swanston Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,115,144.9645730840729,-37.811954275000005,Melbourne (CBD),Large (100+ seats),FALSE,2023
Boilermaker House,209-211 Lonsdale Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",Seats - Outdoor,40,144.96626025195002,-37.81143143651185,Melbourne (CBD),Medium (30-99 seats),TRUE,2023
Minh Xuong Seafood & BBQ Restaurant,209-211 Russell Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,22,144.9672701308587,-37.811644948449995,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Crazy Wing,234 Little Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,70,144.9658722448,-37.812218769655274,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Pearl Diver Cocktails & Oysters,56 Little Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,113,144.97048167014998,-37.810474703008225,Melbourne (CBD),Large (100+ seats),FALSE,2023
Gogi Matcha,595-599 Little Lonsdale Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,88,144.9538306305879,-37.813809576050005,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Fresh Air Pancake,Part Ground 299 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,20,144.96164582473813,-37.81165181845,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Dolan Uyghur Cuisine,Part Ground 382 Lonsdale Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,40,144.9609611956,-37.81235351669059,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Voco,18 Timothy Lane MELBOURNE VIC 3000,Accommodation,Seats - Indoor,126,144.96111679695,-37.81201632968516,Melbourne (CBD),Large (100+ seats),FALSE,2023
Krimper,Ground 20-24 Guildford Lane MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,90,144.9601275219,-37.811157081278424,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
SUSHI HUB,"Shop 18, LwrGround 300 Lonsdale Street MELBOURNE VIC 3000",Takeaway Food Services,Seats - Indoor,28,144.96283887063584,-37.8109017475,Melbourne (CBD),Small (< 30 seats),FALSE,2023
BKK,"Part Level 2 & Level 3, 268-270 Lonsdale Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,50,144.96414510925,-37.81148566819091,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Jankara Karaoke,Ground 300 Russell Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",Seats - Indoor,40,144.96690504910487,-37.80951656,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
The Moghals,369-371 King Street WEST MELBOURNE VIC 3003,Cafes and Restaurants,Seats - Indoor,26,144.95325156964998,-37.81166291174008,West Melbourne (Residential),Small (< 30 seats),FALSE,2023
Upstairs 360,Level 1 360 La Trobe Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,50,144.9591367792,-37.81072051567875,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Nox Coffee Bar,62-64 Little La Trobe Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,50,144.96189070185,-37.809401660062726,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Buza Chicken,"Shop 3, Ground 365 Queen Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,50,144.9579930473276,-37.80987983485,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Nene Chicken,"Shop S2, 410 Elizabeth Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,18,144.9611569462217,-37.808948707949995,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Meet Sando,507 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,50,144.9576272223,-37.807832574221266,Melbourne (CBD),Medium (30-99 seats),TRUE,2023
Ibis melbourne hotel and apartments,Hotel Ibis 15-21 Therry Street MELBOURNE VIC 3000,Accommodation,Seats - Indoor,75,144.96139877745,-37.80710768880876,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Sea Salt Kitchen,362 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Indoor,50,144.96763470996157,-37.798329462599995,Carlton,Medium (30-99 seats),FALSE,2023
Il Duca Ristorante,10 Wellington Parade EAST MELBOURNE 3002,Cafes and Restaurants,Seats - Indoor,35,144.98964087014878,-37.816628453792944,East Melbourne,Medium (30-99 seats),FALSE,2002
Martabak Pecenongan 78 & D'Bakmie,114 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Indoor,15,144.96670200904998,-37.80443770077052,Carlton,Small (< 30 seats),FALSE,2023
Shuji Sushi,"Shop G9, 129 Canning Street NORTH MELBOURNE VIC 3051",Takeaway Food Services,Seats - Indoor,24,144.9406914138578,-37.7962407086,North Melbourne,Small (< 30 seats),FALSE,2023
